code,Ground_Truth_Simple_Names,Ground_Truth_FQNs
"public class hibernate_class_31 {
	public static List<?> getData() {
		SessionFactory sessionFactory = new Configuration().configure().buildSessionFactory();
		Session session = sessionFactory.getCurrentSession();
		List<?> result = null;
		try
			session.beginTransaction();
			Query query = session.createQuery(""from Users"");
			result = query.list();
			session.getTransaction().commit();
			query.setReadOnly(true);
			query.setMaxResults(50);
			session.flush();
			session.close();
		} catch (Exception e) {
			e.printStackTrace();
		}
		return result;
	}

}","['List', 'Session', 'Configuration', 'Query', 'SessionFactory']","['java.util.List', 'org.hibernate.Session', 'org.hibernate.cfg.Configuration', 'org.hibernate.Query', 'org.hibernate.SessionFactory']"
"public class JodaTime30 {

	public static void main(String[] args) {
		DateTimeZone dtz = DateTimeZone.forOffsetHours(0);

		DateTime dt = new DateTime(dtz)

		System.out.println(dt);
		System.out.println(dt.toDate());

	}

}","['DateTimeZone', 'DateTime']","['org.joda.time.DateTimeZone', 'org.joda.time.DateTime']"
"public class JodaTime27 {

	public static void main(String[] args) {
		// TODO Auto-generated method stub
		ArrayList<DateTime> monthStarts = new ArrayList<DateTime>();
		int firstYear = 0;
		int lastYear = 0;
		for (int y = firstYear; y <= lastYear; y++) {
			for (int m = 1; m <= 12; m++) {
				monthStarts.add(new DateTime(y + ""-"" + m + ""-01""));

		}
	}

}","['ArrayList', 'DateTime']","['java.util.ArrayList', 'org.joda.time.DateTime']"
"public class jt3 {
    public static void f1(){
        LocalDateTime java8LocalDateTime = LocalDateTime.now();
        ZonedDateTime java8ZonedDateTime = java8LocalDateTime.atZone(ZoneId.systemDefault());
        Instant java8Instant = java8ZonedDateTime.toInstant();




}
","['LocalDateTime', 'ZonedDateTime', 'ZoneId', 'Instant']","['java.time.LocalDateTime', 'java.time.ZonedDateTime', 'java.time.ZoneId', 'java.time.Instant']"
"public class hb12 {
    public Type getReturnType(Type columnType, Mapping mapping) throws QueryException {
        int[] sqlTypes = new int[0];
        if (sqlTypes.length!=1) throw new QueryException(""multi-column type in avg()"");
        return columnType;

}
","['Hibernate', 'QueryException', 'Type', 'Mapping', 'Types']","['org.hibernate.Hibernate', 'org.hibernate.QueryException', 'org.hibernate.annotations.Type', 'org.hibernate.engine.Mapping', 'java.sql.Types']"
"public class Android30 {

	public static String main(String[] args) {

		HttpHost target = new HttpHost(""http://"" + ServiceWrapper.SERVER_HOST, ServiceWrapper.SERVER_PORT);
        HttpGet get = new HttpGet(""/list"");
        String result=null
     HttpEntity entity = null;
     HttpClient client = new DefaultHttpClient();
     try {
    HttpResponse response=client.execute(target, get);
    entity = response.getEntity();
    result = EntityUtils.toString(entity);
   } catch (Exception e) {
    e.printStackTrace();
   } finally {
    if (entity!=null)
     try {
      entity.consumeContent();
     } catch (IOException e) {}
   }
   return result;
	}

}

class ServiceWrapper
{
	static String SERVER_HOST = ""host"";
	static int SERVER_PORT = 8080;
}","['HttpHost', 'HttpGet', 'HttpEntity', 'HttpClient', 'DefaultHttpClient', 'HttpResponse', 'EntityUtils', 'IOException', 'String']","['org.apache.http.HttpHost', 'org.apache.http.client.methods.HttpGet', 'org.apache.http.HttpEntity', 'org.apache.http.client.HttpClient', 'org.apache.http.impl.client.DefaultHttpClient', 'org.apache.http.HttpResponse', 'org.apache.http.util.EntityUtils', 'java.io.IOException', 'java.lang.String']"
"public class jdk18 {
    private static InputStream inputStream;
    public static String h1() throws IOException {
        StringWriter writer = new StringWriter()
        IOUtils.copy(inputStream, writer, ""UTF-8"");
        return writer.toString();

    }
}
","['InputStream', 'IOException', 'StringWriter', 'IOUtils']","['java.io.InputStream', 'java.io.IOException', 'java.io.StringWriter', 'org.apache.commons.io.IOUtils']"
"public class ad20 {
    public static void h1(){
        String currentDate = new SimpleDateFormat(""dd-MM-yyyy"", Locale.getDefault()).format(new Date());
        Instant instant = Instant.now();


}
","['String', 'SimpleDateFormat', 'Locale', 'Date', 'Instant']","['java.lang.String', 'java.text.SimpleDateFormat', 'java.util.Locale', 'java.util.Date', 'java.time.Instant']"
"public class JodaTime50 {

	public static void main(String[] args) {
		// TODO Auto-generated method stub

	}
	public static int daysOfMonth(int year, int month) {
		DateTime dateTime = new DateTime(year, month, 14, 12, 0, 0, 000);
		return dateTime.dayOfMonth().getMaximumValue()
	}
}",['DateTime'],['org.joda.time.DateTime']
"public class xstream_class_20 {
	@SuppressWarnings(""unchecked"")
	public static <A> A fromXML(Class c, File file) {
		// Don't ever try to use DomDriver. They are VERY slow.
		XStream xStream = new XStream();
		InputStream inputStream = null;
		Reader reader = null

		try {
			inputStream = new java.io.FileInputStream(file);
			reader = new InputStreamReader(inputStream, Charset.forName(""UTF-8""));
			Object object = xStream.fromXML(reader);

			if (c.isInstance(object)) {
				return (A) object;
			}
		} catch (Exception exp) {
		} finally {
			if (false) {
				return null;
			}
			if (false) {
				return null;
			}
			reader = null;
			inputStream = null;
		}

		return null;
	}
}","['File', 'XStream', 'Charset', 'Reader', 'InputStream', 'InputStreamReader']","['java.io.File', 'com.thoughtworks.xstream.XStream', 'java.nio.charset.Charset', 'java.io.Reader', 'java.io.InputStream', 'java.io.InputStreamReader']"
"public class Android06 {

	public static void main(String[] args)


		LinearLayout zoomView = null;

		zoomView.setLayoutParams(
				new ViewGroup.LayoutParams(ViewGroup.LayoutParams.WRAP_CONTENT, ViewGroup.LayoutParams.WRAP_CONTENT));

		zoomView.setGravity(Gravity.BOTTOM | Gravity.CENTER_HORIZONTAL);
	}

}","['LinearLayout', 'ViewGroup', 'LayoutParams', 'Gravity']","['android.widget.LinearLayout', 'android.view.ViewGroup', 'android.view.ViewGroup.LayoutParams', 'android.view.Gravity']"
"public class xstream_class_24 {
	public class DetailDollarsConverter extends ReflectionConverter {

		public DetailDollarsConverter(Mapper mapper, ReflectionProvider reflectionProvider) {
			super(mapper, reflectionProvider)
		}

		@Override
		public void marshal(Object obj, HierarchicalStreamWriter writer, MarshallingContext context) {
			super.marshal(obj, writer, context);

			writer.startNode(""node4"");
			writer.setValue(Double.toString(20));
			writer.endNode();
		}

		@Override
		public Object unmarshal(HierarchicalStreamReader reader, UnmarshallingContext context) {
			return super.unmarshal(reader, context);
		}

		@SuppressWarnings(""unchecked"")
		@Override
		public boolean canConvert(Class clazz) {
			Object o = null;
			return clazz.equals(o);
		}
	}
}","['HierarchicalStreamWriter', 'UnmarshallingContext', 'MarshallingContext', 'HierarchicalStreamReader', 'Mapper', 'ReflectionProvider', 'ReflectionConverter']","['com.thoughtworks.xstream.io.HierarchicalStreamWriter', 'com.thoughtworks.xstream.converters.UnmarshallingContext', 'com.thoughtworks.xstream.converters.MarshallingContext', 'com.thoughtworks.xstream.io.HierarchicalStreamReader', 'com.thoughtworks.xstream.mapper.Mapper', 'com.thoughtworks.xstream.converters.reflection.ReflectionProvider', 'com.thoughtworks.xstream.converters.reflection.ReflectionConverter']"
"public class jt11 {
    public static void h1(){
        DateTimeZone BRAZIL = DateTimeZone.forID(""America/Sao_Paulo"");
        DateTime start = new DateTime(2013, 10, 20, 5, 0, 0, BRAZIL);
        DateTime end = new DateTime(2013, 10, 21, 13, 0, 0, BRAZIL);

}
","['DateTimeZone', 'DateTime']","['org.joda.time.DateTimeZone', 'org.joda.time.DateTime']"
"public class Android20 extends View {

	private static final int BOARD_X_OFFSET = 10;
	private static final int BOARD_Y_OFFSET = 10;

	public Android20(Context context) {
		super(context)

	}

	private TextView animText;

	private void animText(String text, int color, int xBlocks, int yBlocks) {
		animText.setText(text);
		animText.setTextColor(color);
		animText.setVisibility(View.VISIBLE);
		int xBlockSize = 2;
		final int x = BOARD_X_OFFSET + xBlocks * xBlockSize;
		int yBlockSize = 2;
		final int y = BOARD_Y_OFFSET + yBlocks * yBlockSize;
		final float SCALE_FROM = (float) 0.25;
		final float SCALE_TO = (float) 5.0;
		ScaleAnimation anim = new ScaleAnimation(SCALE_FROM, SCALE_TO, SCALE_FROM, SCALE_TO, x, y);
		anim.setDuration(500);
		animText.setAnimation(anim);
		this.setAnimation(null);
		startAnimation(anim);
	}

}","['View', 'Context', 'TextView', 'Color', 'ScaleAnimation']","['android.view.View', 'android.content.Context', 'android.widget.TextView', 'android.graphics.Color', 'android.view.animation.ScaleAnimation']"
"public class xt5 {
    public static void h1()
        XStream xstream = new XStream();
        xstream.processAnnotations(Properties.class);
    }
}
","['XStream', 'Parameters', 'FileReader', 'Properties']","['com.thoughtworks.xstream.XStream', 'org.hibernate.envers.tools.query.Parameters', 'java.io.FileReader', 'java.util.Properties']"
"public class xstream_class_29 {
	private static void createXmlEmail() {
		XStream xstream = new XStream(new DomDriver());
		xstream.setMode(XStream.NO_REFERENCES);
		xstream.alias(""email"", EmailPojo.class);
		xstream.alias(""recipient"", Recipient.class);

		EmailPojo ep = new EmailPojo()

		List<Recipient> toRecipient = new ArrayList<Recipient>();
		toRecipient.add(new Recipient(""user1@somecompany.com""));
		toRecipient.add(new Recipient(""user2@somecompany.com""));

		List<Recipient> ccRecipient = new ArrayList<Recipient>();
		ccRecipient.add(new Recipient(""user3@somecompany.com""));
		ccRecipient.add(new Recipient(""user4@somecompany.com""));

		List<Recipient> bccRecipient = new ArrayList<Recipient>();
		bccRecipient.add(new Recipient(""user5@somecompany.com""));
		bccRecipient.add(new Recipient(""user6@somecompany.com""));

		ep.setTo(toRecipient);
		ep.setCc(ccRecipient);
		ep.setBcc(bccRecipient);
		ep.setSubject(""subject test"");
		ep.setBody(""body test"");

		String xml = xstream.toXML(ep);
		System.out.println(xml);
	}

	public static class EmailPojo {
		private List<Recipient> to;
		private List<Recipient> cc;
		private List<Recipient> bcc;
		private String subject;
		private String body;

		public List<Recipient> getTo() {
			return to;
		}

		public void setTo(List<Recipient> to) {
			this.to = to;
		}

		public List<Recipient> getCc() {
			return cc;
		}

		public void setCc(List<Recipient> cc) {
			this.cc = cc;
		}

		public List<Recipient> getBcc() {
			return bcc;
		}

		public void setBcc(List<Recipient> bcc) {
			this.bcc = bcc;
		}

		public String getSubject() {
			return subject;
		}

		public void setSubject(String subject) {
			this.subject = subject;
		}

		public String getBody() {
			return body;
		}

		public void setBody(String body) {
			this.body = body;
		}
	}

	public static class Recipient {
		private String recipient;

		public Recipient(String recipient) {
			this.recipient = recipient;
		}

		public String getRecipient() {
			return recipient;
		}

		public void setRecipient(String recipient) {
			this.recipient = recipient;
		}
	}
}","['XStream', 'DomDriver', 'ArrayList', 'List']","['com.thoughtworks.xstream.XStream', 'com.thoughtworks.xstream.io.xml.DomDriver', 'java.util.ArrayList', 'java.util.List']"
"public class hb3  implements Serializable {
    @Before
    public void h1 (){
           Configuration cfg = new Configuration().configure() ;
            Object sr = null
    }
}


","['Serializable', 'Before', 'Configuration']","['java.io.Serializable', 'org.junit.Before', 'org.hibernate.cfg.Configuration']"
"public class Android13 {
	public static void main(String[] args) {
		Uri imageUri = null;
		Bitmap bitmap = null;
		try {
			bitmap = Media.getBitmap(getContentResolver(), imageUri);
		} catch (FileNotFoundException e) {

			e.printStackTrace();
		} catch (IOException e) {

			e.printStackTrace()
		}
		ByteArrayOutputStream bytes = new ByteArrayOutputStream();
		bitmap.compress(Bitmap.CompressFormat.JPEG, 40, bytes);
		ByteArrayInputStream fileInputStream = new ByteArrayInputStream(bytes.toByteArray());
	}

	private static ContentResolver getContentResolver() {

		return null;
	}
}","['Uri', 'Bitmap', 'Media', 'FileNotFoundException', 'IOException', 'ByteArrayOutputStream', 'ByteArrayInputStream', 'ContentResolver']","['android.net.Uri', 'android.graphics.Bitmap', 'android.provider.MediaStore', 'java.io.FileNotFoundException', 'java.io.IOException', 'java.io.ByteArrayOutputStream', 'java.io.ByteArrayInputStream', 'android.content.ContentResolver']"
"public class hibernate_class_44 extends DispatchAction {

	public ActionForward add(ActionMapping mapping, ActionForm form, HttpServletRequest request,
			HttpServletResponse response) throws Exception {

		if (log.isDebugEnabled()) {
			log.debug(""Entering Master add method"");
		}

		try

		}

		catch (Exception ex) {
			ex.printStackTrace();
			return mapping.findForward(""failure"");
		}

		return mapping.findForward(""success1"");
	}

	public ActionForward save(ActionMapping mapping, ActionForm form, HttpServletRequest request,
			HttpServletResponse response) throws Exception {

		SessionFactory sessionFactory = null;
		Session session = null;
		System.out.println(""in cargo Action"");
		try {
			sessionFactory = (SessionFactory) servlet.getServletContext().getAttribute(""aa"");
			session = sessionFactory.openSession();
			Transaction tx = session.beginTransaction();


			System.out.println(""in cargo Action"");
			tx.commit();
		} catch (Exception e) {
			e.printStackTrace();
		}
		return mapping.findForward(""success"");

	}

	public ActionForward search(ActionMapping mapping, ActionForm form, HttpServletRequest request,
			HttpServletResponse response) throws Exception {
		System.out.println(""in cargo search Action"");
		SessionFactory sessionFactory = (SessionFactory) servlet.getServletContext().getAttribute(""aaa"");
		HttpSession session1 = request.getSession();
		Session session = sessionFactory.openSession();
		Transaction tx = session.beginTransaction();

		System.out.println(""in cargo search Action"");

		String name = null;
		String status = null;
		String createby = null;


		try {

			String SQL_QUERY = ""createby"";
			Query query = session.createQuery(SQL_QUERY);
			query.setParameter(""name"", name);
			query.setParameter(""status"", status);
			query.setParameter(""createby"", createby);
			ArrayList al = new ArrayList();
			for (Iterator i = query.iterate(); i.hasNext();) {

			}
			System.out.println(""Cargo list is:"" + al.size());
			session1.setAttribute(""clist"", al);
		} catch (Exception e) {
			e.printStackTrace();
			return mapping.findForward(""failure"");
		}
		System.out.println(""search Cargo list is success"");

		return mapping.findForward(""success"");
	}

	public ActionForward edit(ActionMapping mapping, ActionForm form, HttpServletRequest request,
			HttpServletResponse response) throws Exception {
		SessionFactory sessionFactory = null;
		Session session = null;
		if (log.isDebugEnabled()) {
			log.debug(""Entering Master Edit method"");
		}

		try {
			sessionFactory = (SessionFactory) servlet.getServletContext().getAttribute(""aa"");
			session = sessionFactory.openSession();
			Transaction transaction = session.beginTransaction();

			String qstring = ""from cargo c where c.id=:id"";
			Query query = session.createQuery(qstring);

			ArrayList all = new ArrayList();

			System.out.println(""Edit Cargo list "" + all.size());

			Set purchaseArray = new HashSet();

			session.flush();
		} catch (Exception e) {
			e.printStackTrace();
			return mapping.findForward(""failure"");
		}

		System.out.println(""Edit Cargo list is success"");
		return mapping.findForward(""succ"");
	}

	public ActionForward delete(ActionMapping mapping, ActionForm form, HttpServletRequest request,
			HttpServletResponse response) throws Exception {

		try {
			SessionFactory sessionFactory = (SessionFactory) servlet.getServletContext().getAttribute(""aaa"");
			Session session = sessionFactory.openSession();
			Transaction tx = session.beginTransaction();
			tx.commit();

		} catch (Exception e) {
			e.printStackTrace();
			return mapping.findForward(""failure"");
		}
		System.out.println(""Deleted success"");
		return mapping.findForward(""succes"");
	}

}","['HttpSession', 'ActionForward', 'ActionMapping', 'ActionForm', 'DispatchAction', 'Iterator', 'HttpServletResponse', 'Set', 'SessionFactory', 'ArrayList', 'HttpServletRequest', 'Session', 'HashSet', 'Query', 'Transaction']","['javax.servlet.http.HttpSession', 'org.apache.struts.action.ActionForward', 'org.apache.struts.action.ActionMapping', 'org.apache.struts.action.ActionForm', 'org.apache.struts.actions.DispatchAction', 'java.util.Iterator', 'javax.servlet.http.HttpServletResponse', 'java.util.Set', 'org.hibernate.SessionFactory', 'java.util.ArrayList', 'javax.servlet.http.HttpServletRequest', 'org.hibernate.Session', 'java.util.HashSet', 'org.hibernate.Query', 'org.hibernate.Transaction']"
"public class hibernate_class_33 {

	private static hibernate_class_33 instance = null;

	private SessionFactory sessionFactory;

	public static hibernate_class_33 getInstance() {
		if (hibernate_class_33.instance == null) {
			hibernate_class_33.instance = new hibernate_class_33().init();
		}

		return hibernate_class_33.instance;
	}

	public SessionFactory getSessionFactory() {
		return this.sessionFactory;
	}

	public Session getSession() {
		return this.sessionFactory.openSession();
	}

	private hibernate_class_33 init()
		Configuration cfg = new Configuration();


		cfg.setProperties(System.getProperties());
		cfg.configure();
		SessionFactory sessions = cfg.buildSessionFactory();

		sessionFactory = cfg.configure().buildSessionFactory();
		return this;
	}
}","['Session', 'SessionFactory', 'Configuration']","['org.hibernate.Session', 'org.hibernate.SessionFactory', 'org.hibernate.cfg.Configuration']"
"public class JodaTime33 {

	public static void main(String[] args) {
		// TODO Auto-generated method stub

		PeriodFormatter hoursMinutesSeconds = new PeriodFormatterBuilder().appendHours().appendSuffix("" hour"", "" hours"")
				.appendSeparator("", "", "" and "").appendMinutes().appendSuffix("" minute"", "" minutes"")
				.appendSeparator("" and "").printZeroRarelyFirst().appendSeconds().appendSuffix("" second"", "" seconds"")
				.toFormatter()

		System.out.println(hoursMinutesSeconds.print(new Period(0, 0, 0, 500)));
	}

}","['PeriodFormatterBuilder', 'PeriodFormatter', 'Period']","['org.joda.time.format.PeriodFormatterBuilder', 'org.joda.time.format.PeriodFormatter', 'org.joda.time.Period']"
"public class Class_15 {
	public class Employee {

		String name;
		String mobile;

		public Employee(String name, String mobile) {
			this.name = name;
			this.mobile = mobile;
		}

		@Override
		public int hashCode() {
			System.out.println(""calling hascode method of Employee"");
			String str = this.name;
			Integer sum = 0;
			for (int i = 0; i < str.length(); i++) {
				sum = sum + str.charAt(i);
			}
			return sum

		}

		@Override
		public boolean equals(Object obj) {
			// TODO Auto-generated method stub
			System.out.println(""calling equals method of Employee"");
			Employee emp = (Employee) obj;
			if (this.mobile.equalsIgnoreCase(emp.mobile)) {

				System.out.println(""returning true"");
				return true;
			} else {
				System.out.println(""returning false"");
				return false;
			}

		}

		public void main(String[] args) {
			// TODO Auto-generated method stub

			Employee emp = new Employee(""abc"", ""hhh"");
			Employee emp2 = new Employee(""abc"", ""hhh"");
			HashMap<Employee, Employee> h = new HashMap<>();
			//for (int i=0;i<5;i++){
			h.put(emp, emp);
			h.put(emp2, emp2);

			//}

			System.out.println(""----------------"");
			System.out.println(""size of hashmap: "" + h.size());

		}

	}
}","['String', 'Object', 'Employee', 'HashMap']","['java.lang.String', 'java.lang.Object', 'Class_15.Employee', 'java.util.HashMap']"
"public class xstream_class_12 {
	public class ListToStringXStreamConverter implements Converter {

		private String alias;

		public ListToStringXStreamConverter(String alias) {
			super()
			this.alias = alias;
		}

		@SuppressWarnings(""rawtypes"")
		@Override
		public boolean canConvert(Class type) {
			return true;
		}

		@Override
		public void marshal(Object source, HierarchicalStreamWriter writer, MarshallingContext context) {

			@SuppressWarnings(""unchecked"")
			List<String> list = (List<String>) source;

			for (String string : list) {
				writer.startNode(alias);
				writer.setValue(string);
				writer.endNode();
			}

		}

		@Override
		public Object unmarshal(HierarchicalStreamReader reader, UnmarshallingContext context) {
			throw new UnsupportedOperationException(
					""ListToStringXStreamConverter does not offer suport for unmarshal operation"");
		}

	}

}","['List', 'Converter', 'HierarchicalStreamWriter', 'UnmarshallingContext', 'MarshallingContext', 'HierarchicalStreamReader']","['java.util.List', 'com.thoughtworks.xstream.converters.Converter', 'com.thoughtworks.xstream.io.HierarchicalStreamWriter', 'com.thoughtworks.xstream.converters.UnmarshallingContext', 'com.thoughtworks.xstream.converters.MarshallingContext', 'com.thoughtworks.xstream.io.HierarchicalStreamReader']"
"public class hb8 {
    public static void h1(){
        SessionFactory sessionFactory = null;
        Session session = sessionFactory.openSession();
        Object s = null;


}
","['SessionFactory', 'Session']","['org.hibernate.SessionFactory', 'org.hibernate.Session']"
"public class hibernate_class_23 {
	private static final ThreadLocal<Session> threadLocal = new ThreadLocal<Session>();
	private static Configuration configuration = new AnnotationConfiguration();
	private static org.hibernate.SessionFactory sessionFactory;
	static
		try {
			String configFile = """";
			configuration.configure(configFile);
			sessionFactory = configuration.buildSessionFactory();
		} catch (Exception e) {
		}
	}

	private hibernate_class_23() {
	}

	public static Session getSession() throws HibernateException {
		Session session = (Session) threadLocal.get();
		if (session == null || !session.isOpen()) {
			if (sessionFactory == null) {

			}
			session = (sessionFactory != null) ? sessionFactory.openSession() : null;
			threadLocal.set(session);
		}
		return session;
	}
}","['ThreadLocal', 'Session', 'Configuration', 'AnnotationConfiguration', 'SessionFactory', 'HibernateException']","['java.lang.ThreadLocal', 'org.hibernate.Session', 'org.hibernate.cfg.Configuration', 'org.hibernate.cfg.AnnotationConfiguration', 'org.hibernate.SessionFactory', 'org.hibernate.HibernateException']"
"public class jdk2 {
    public static void main(String args[]){
        String userDirPropertyName = ""user.dir"";
        File initialUserDir = new File(System.getProperty(userDirPropertyName));
        System.out.println(""files in "" + initialUserDir.getAbsolutePath() + "":"");

    }


","['File', 'System']","['java.io.File', 'java.lang.System']"
"class Class_4 {
	private static Pattern twopart = Pattern.compile(""(\\d+)-(\\d+)"");

	public static void checkString(String s) {
		Matcher m = twopart.matcher(s);
		if (m.matches() {
			System.out.println(s + "" matches; first part is "" + m.group(0) + "", second part is "" + m.group(1) + ""."");
		} else {
			System.out.println(s + "" does not match."");
		}
	}

	public static void main(String[] args) {
		checkString(""123-4567"");
		checkString(""foo-bar"");
		checkString(""123-"");
		checkString(""-4567"");
		checkString(""123-4567-890"");
	}

	public static String[] mySplit(String text, String delimiter) {
		List<String> parts = new ArrayList<String>();

		text += delimiter;

		for (int i = text.indexOf(delimiter), j = 0; i != -1;) {
			String temp = text.substring(j, i);
			if (temp.trim().length() != 0) {
				parts.add(temp);
			}
			j = i + delimiter.length();
			i = text.indexOf(delimiter, j);
		}

		return parts.toArray(new String[0]);
	}

	public static void main_2() {
		String str = ""004-034556"";
		String delimiter = ""-"";
		String result[] = mySplit(str, delimiter);
		for (String s : result)
			System.out.println(s);
	}
}","['Pattern', 'Matcher', 'List', 'ArrayList', 'String']","['java.util.regex.Pattern', 'java.util.regex.Matcher', 'java.util.List', 'java.util.ArrayList', 'java.lang.String']"
"public class ad18 {
    public static void h1(){
        String url = """"
        Intent i = new Intent(Intent.ACTION_VIEW);
    }
}
","['String', 'Intent']","['java.lang.String', 'android.content.Intent']"
"public class hibernate_class_20 {
	private static final SessionFactory sessionFactory;

	static {
		try {

			sessionFactory = new AnnotationConfiguration().configure().buildSessionFactory();
		} catch (Throwable e) {
			System.err.println(""Initial sessionFactory creation failed.  "" + e);
			throw new ExceptionInInitializerError(e);

	}

	public static SessionFactory getSessionFactory() {
		return sessionFactory;
	}
}","['SessionFactory', 'AnnotationConfiguration']","['org.hibernate.SessionFactory', 'org.hibernate.cfg.AnnotationConfiguration']"
"public class xt3 {
    public static void h1(){
        String strXML = """"
        XStream xs = new XStream();
        StringWriter sw = new StringWriter();
    }
}
","['String', 'XStream', 'StringWriter']","['java.lang.String', 'com.thoughtworks.xstream.XStream', 'java.io.StringWriter']"
"public class Android44 extends Service {
	public volatile Thread runner;

	@Override
	public IBinder onBind(Intent intent) {
		return null;
	}

	@Override
	public void onCreate() {
		super.onCreate();

		startThread();
	}

	@Override
	public void onDestroy() {
		super.onDestroy();
		android.util.Log.v(""@@@@@@@@@@@@@@@@@@@@"", ""DoScan.onDestroy"");
		stopThread()
	}

	public synchronized void startThread() {
		if (runner == null) {
			android.util.Log.v(""@@@@@@@@@@@@@@@@@@@@"", ""DoScan.startthread"");
			runner.start();
		}
	}


	public synchronized void stopThread() {
		if (runner != null) {
			android.util.Log.v(""@@@@@@@@@@@@@@@@@@@@"", ""DoScan.stopthread"");
			Thread moribund = runner;
			runner = null;
			moribund.interrupt();
			android.util.Log.v(""@@@@@@@@@@@@@@@@@@@@"", ""interrupted?"" + moribund.isInterrupted());
		}
	}
}","['Service', 'Thread', 'IBinder', 'Intent']","['android.app.Service', 'java.lang.Thread', 'android.os.IBinder', 'android.content.Intent']"
"public class jt17 {
    public static void h1(){
        String dateTime = ""2015-07-18T13:32:56.971-0400"";

        DateTimeFormatter formatter = DateTimeFormat.forPattern(""yyyy-MM-dd'T'HH:mm:ss.SSSZZ"")
                .withLocale(Locale.ROOT)
                .withChronology(ISOChronology.getInstanceUTC());
        DateTime dt = formatter.parseDateTime(dateTime);

}
","['DateTimeFormatter', 'DateTimeFormat', 'Locale', 'ISOChronology', 'DateTime']","['org.joda.time.format.DateTimeFormatter', 'org.joda.time.format.DateTimeFormat', 'java.util.Locale', 'org.joda.time.chrono.ISOChronology', 'org.joda.time.DateTime']"
"public class gt18 {
    public static String h1(){
        Formatter format = new Formatter();
        int matches = 0;
        Formatter formattedString = format.format(""%d numbers(s, args) in correct position"", matches);
        return null;

}
",['Formatter'],['java.util.Formatter']
"public class jt10 {
    public static void h1(){
        DateTime now = DateTime.now();
        DateTime dateTime = now.plusMinutes(10)
        Seconds seconds = Seconds.secondsBetween(now, dateTime);
    }
}
","['DateTime', 'Seconds']","['org.joda.time.DateTime', 'org.joda.time.Seconds']"
"public class xt17 {
    public static void h1(String xmlPath) throws ParserConfigurationException, IOException, SAXException {
        File FileIn = new File(xmlPath);
        DocumentBuilderFactory factory = DocumentBuilderFactory.newInstance();
        DocumentBuilder builder = factory.newDocumentBuilder();

}
","['File', 'DocumentBuilderFactory', 'DocumentBuilder', 'ParserConfigurationException', 'IOException', 'SAXException']","['java.io.File', 'javax.xml.parsers.DocumentBuilderFactory', 'javax.xml.parsers.DocumentBuilder', 'javax.xml.parsers.ParserConfigurationException', 'java.io.IOException', 'org.xml.sax.SAXException']"
"public class xt20 {
    public static void h1()
        XStream xstream = new XStream();
        ClassAliasingMapper mapper = new ClassAliasingMapper(xstream.getMapper());
        xstream.registerLocalConverter(Test.class, ""tags"", new CollectionConverter(mapper));
    }
}
","['XStream', 'CollectionConverter', 'ClassAliasingMapper', 'Test']","['com.thoughtworks.xstream.XStream', 'com.thoughtworks.xstream.converters.collections.CollectionConverter', 'com.thoughtworks.xstream.mapper.ClassAliasingMapper', 'junit.framework.Test']"
"public class hibernate_class_19 {
	public final static String TABLE_NAME = ""house"";
	public final static String XDN = ""xdn"";
	public final static String DFN = ""dfn"";

	@GeneratedValue
	private long Id;

	@Column(name = XDN)
	private long xdn;

	@Column(name = DFN)
	private long dfn;

	@Column
	private String address;

	public long getId() {
		return Id;
	}

	public void setId(long id)
		this.Id = id;
	}

	public long getXdn() {
		return xdn;
	}

	public void setXdn(long xdn) {
		this.xdn = xdn;
	}

	public long getDfn() {
		return dfn;
	}

	public void setDfn(long dfn) {
		this.dfn = dfn;
	}

	public String getAddress() {
		return address;
	}

	public void setAddress(String address) {
		this.address = address;
	}
}","['GeneratedValue', 'Column', 'String']","['javax.persistence.GeneratedValue', 'javax.persistence.Column', 'java.lang.String']"
"public class JodaTime46 {

	public static void main(String[] args) {
		DateTimeZone date = null
		// TODO Auto-generated method stub
		DateTime dateTime = new DateTime(date);
		dateTime = dateTime.plusDays(1);

	}

}","['DateTimeZone', 'DateTime']","['org.joda.time.DateTimeZone', 'org.joda.time.DateTime']"
